Publication Title,PMID,Number of patients,Type of intervention,Drug(s)/Vaccine(s) - if used,"Start date
(if known)","End date 
(if known)","Duration
(in days)",Meta-analysis (Y/N),Type of trial,Retrospective/ Prospective,Geographic location,Date of publication
Clinical analysis of pregnant women with 2019 novel coronavirus pneumonia.,32222119,5,Other,,20-Jan-20,10-Feb-20,22,No,Case report,,"Hubei, China",28-Mar-20
"Clinical and epidemiological features of 36 children with coronavirus disease 2019 (COVID-19) in Zhejiang, China: an observational cohort study.",32220650,36,None/Observatory,,17-Jan-20,1-Mar-20,45,No,"Observational, cohort study",Retrospective,"Zhejiang, China",25-Mar-20
Featuring COVID-19 cases via screening symptomatic patients with epidemiologic link during flu season in a medical center of central Taiwan.,32220574,43,Other,,20-Jan-20,19-Feb-20,31,No,,Retrospective,"Taichung, Taiwan",13-Mar-20
"Clinical features and obstetric and neonatal outcomes of pregnant patients with COVID-19 in Wuhan, China: a retrospective, single-centre, descriptive study.",32220284,7,Other,,1-Jan-20,8-Feb-20,39,No,Single-Centre study,Retrospective,"Wuhan, China",24-Mar-20
Clinical and coagulation characteristics of 7 patients with critical COVID-2019 pneumonia and acro-ischemia,32220276,7,Other,,4-Feb-20,15-Feb-20,12,No,Single-Centre study,Retrospective,"Beijing, China",28-Mar-20
Early antiviral treatment contributes to alleviate the severity and improve the prognosis of patients with novel coronavirus disease (COVID-19).,32220033,280,Drug(s),Lopinavir | Ritonavir | Ribavirin,20-Jan-20,20-Feb-20,32,No,,Retrospective,"Jiangsu and Anhui, China",27-Mar-20
"Clinical characteristics of 54 medical staff with COVID-19: A retrospective study in a single center in Wuhan, China.",32222986,54,IgG | Drug(s),Interferon | Thymosin | Immunoglobulin | Antimicrobial agent | Empirical Antivirals | Low dose of corticosteroid | Big dose of corticosteroid        ,7-Jan-20,11-Feb-20,36,No,Single-centre case series,Retrospective,"Wuhan, China",29-Mar-20
Stability issues of RT-PCR testing of SARS-CoV-2 for hospitalized patients clinically diagnosed with COVID-19.,32219885,610,Other,,2-Feb-20,17-Feb-20,16,No,,Retrospective,"Wuhan, China",26-Mar-20
Cardiovascular Implications of Fatal Outcomes of Patients With Coronavirus Disease 2019 (COVID-19).,32219356,187,None/Observatory,,23-Jan-20,23-Feb-20,32,No,Single-center case series,Retrospective,"Wuhan, China",27-Mar-20
Clinical and immunological features of severe and moderate coronavirus disease 2019.,32217835,21,None/Observatory,Methylprednisolone | Empirical antibiotics | Oseltamivir  | Ganciclovir,,,,No,Observational study ,Retrospective,"Wuhan, China",27-Mar-20
Comorbidity and its impact on 1590 patients with Covid-19 in China: A Nationwide Analysis.,32217650,"1,590",None/Observatory,,11-Dec-19,31-Jan-20,52,Yes,Case study,Retrospective,China,26-Mar-20
"Clinical and CT features of early-stage patients with COVID-19: a retrospective analysis of imported cases in Shanghai, China",32217649,44,None/Observatory,,20-Jan-20,30-Jan-20,11,No,,Retrospective,"Shanghai, China",30-Apr-20
Clinical characteristics of 113 deceased patients with coronavirus disease 2019: retrospective study.,32217556,799,None/Observatory,,13-Jan-20,28-Feb-20,47,No,Case series,Retrospective,"Wuhan, China",26-Mar-20
Treatment of 5 Critically Ill Patients With COVID-19 With Convalescent Plasma.,32219428,5,Plasma,Methylprednisolone | Empirical Antivirals,20-Jan-20,25-Mar-20,66,No,Preliminary uncontrolled case series ,,"Shenzhen, China",27-Mar-20
"Epidemiological, clinical and virological characteristics of 74 cases of coronavirus-infected disease 2019 (COVID-19) with gastrointestinal symptoms.",32213556,651,Drug(s),Lopinavir | Interferon | Ritonavir | Arbidol | Glucocorticoids | Empirical antibiotics,17-Jan-20,8-Feb-20,23,No,,Retrospective,"Zhejiang, China",24-Mar-20
Coronavirus disease 2019: initial chest CT findings,32211963,62,Other,,21-Jan-20,4-Feb-20,15,No,,Retrospective,"Chongqing, China",24-Mar-20
Analysis of Epidemiological and Clinical features in older patients with Corona Virus Disease 2019 (COVID-19) out of Wuhan.,32211844,788,CT | Drug(s),Interferon-α | Arbidol | Lopinavir/Ritonavir,17-Jan-20,12-Feb-20,27,No,,Retrospective,"Zhejiang, China",25-Mar-20
Epidemiological and Clinical Predictors of COVID-19.,32211755,788,Other,,26-Jan-20,16-Feb-20,22,No,Case-control study,Retrospective,Singapore,25-Mar-20
"Clinical characteristics of fatal and recovered cases of coronavirus disease 2019 (COVID-19) in Wuhan, China: a retrospective study.",32209890,225,None/Observatory,,1-Jan-20,21-Feb-20,52,No,Investigational study,Retrospective,"Wuhan, China",20-Mar-20
"Clinical Characteristics of Children with Coronavirus Disease 2019 in Hubei, China.",32207032,25,Other | Drug(s),Glucocorticoids | Arbidol | Interferon-α | Immunoglobulin | Empirical antibiotics | Lopinavir/Ritonavir | Oseltamivir ,1-Feb-20,10-Feb-20,10,No,,Retrospective,"Hubei, China",4-Apr-20
"Epidemiological, clinical characteristics of cases of SARS-CoV-2 infection with abnormal imaging findings.",32205284,573,Other,,17-Jan-20,8-Feb-20,23,No,,Retrospective,"Zhejiang, China",20-Mar-20
Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial.,32205204,36,None/Observatory,Hydroxychloroquine | Azithromycin,,,,No,Open-label non-randomized clinical trial,,"Marseille, France",20-Mar-20
Clinical features and chest CT findings of COVID-19 in infants and young children,32204756,9,Other,,20-Jan-20,10-Feb-20,22,No,,Retrospective,"Guangdong, China",22-Mar-20
High-flow nasal-oxygenation-assisted fiberoptic tracheal intubation in critically ill patients with COVID-19 pneumonia,32200994,60,Other,,,,,No,Randomized controlled trial,Prospective,China,19-Mar-20
Clinical features and treatment of COVID-19 patients in northeast Chongqing.,32198776,135,Drug(s) | Oxygen support,Empirical antibiotics | Traditional Chinese medicine | Empirical Antivirals,,,,No,,,"Chongqing, China",21-Mar-20
"Clinical features of severe pediatric patients with coronavirus disease 2019 in Wuhan: a single center's observational study.",32193831,8,Drug(s) | Oxygen support,Immunoglobulin | Empirical Antivirals | Traditional Chinese medicine | Glucocorticoids | Empirical antibiotics,24-Jan-20,24-Feb-20,32,No,Single center’s observational study,,"Wuhan, China",19-Mar-20
Temporal Changes of CT Findings in 90 Patients with COVID-19 Pneumonia,32191587,90,Other,,16-Jan-20,17-Feb-20,33,No,Longitudinal Study,Prospective,"Wuhan, China",19-Mar-20
Characteristics and Outcomes of 21 Critically Ill Patients With COVID-19 in Washington State.,32191259,21,None/Observatory,,,,,No,Case series,,"Washington, USA",19-Mar-20
Functional exhaustion of antiviral lymphocytes in COVID-19 patients.,32203188,68,Drug(s),Empirical antibiotics | Empirical Antivirals | Chloroquine | Interferon-α,,,,No,Case study,," Anhui, China",19-Mar-20
Elevated exhaustion levels and reduced functional diversity of T cells in peripheral blood may predict severe progression in COVID-19 patients.,32203186,16,None/Observatory,,,,,No,Case study,,"Kunming, China",17-Mar-20
Time Kinetics of Viral Clearance and Resolution of Symptoms in Novel Coronavirus Infection.,32200654,16,None/Observatory,,28-Jan-20,9-Feb-20,13,No,Case study,Retrospective,"Beijing, China",23-Mar-20
Effect of gastrointestinal symptoms on patients infected with COVID-19.,32199880,254,Drug(s) | ECMO,Empirical Antivirals | Empirical antibiotics | Immunoglobulin | Hormones,20-Dec-19,9-Feb-20,52,No,,,"Wuhan, China",18-Mar-20
Viral dynamics in mild and severe cases of COVID-19,32199493,76,Drug(s) | Oxygen support,Lopinavir/Ritonavir | Moxifloxacin,21-Jan-20,4-Feb-20,15,No,Observational study,,"Nanchang, China",19-Mar-20
Imaging Features of Coronavirus disease 2019 (COVID-19): Evaluation on Thin-Section CT.,32204990,53,Other,,,,,No,Case study,Retrospective,"Beijing, China",20-Mar-20
Self-reported olfactory and taste disorders in SARS-CoV-2 patients: a cross-sectional study.,32215618,59,None/Observatory,,,,,No,Cross-sectional study,Retrospective,"Milan, Italy",26-Mar-20
Temporal profiles of viral load in posterior oropharyngeal saliva samples and serum antibody responses during infection by SARS-CoV-2,32213337,23,Other,,22-Jan-20,12-Feb-20,22,No,Observational cohort study,Prospective,"Hong Kong, China",23-Mar-20
"SARS-CoV-2 Transmission in Patients with Cancer at a Tertiary Care Hospital in Wuhan, China.",32211820,"1,524",None/Observatory,,30-Dec-19,17-Feb-20,50,No,Cross-sectional study,Retrospective,"Wuhan, China",25-Mar-20
